family,conversation_id,peak_lfi,mean_lfi,cumulative_lfi,fragmentation_slope
Task_Decomposition,174,17,10.0,70,1.607142857142857
Task_Decomposition,173,55,28.142857142857142,197,1.0357142857142856
Task_Decomposition,178,13,9.428571428571429,66,0.75
Task_Decomposition,177,30,16.571428571428573,116,-1.9642857142857137
Task_Decomposition,179,13,6.428571428571429,45,0.5714285714285714
Task_Decomposition,182,14,8.0,56,0.9642857142857142
Task_Decomposition,180,40,22.571428571428573,158,2.0
Task_Decomposition,181,23,10.714285714285714,75,1.2857142857142856
Task_Decomposition,184,34,15.142857142857142,106,0.2142857142857144
Task_Decomposition,183,37,19.857142857142858,139,4.82142857142857
Task_Decomposition,185,28,18.285714285714285,128,0.2857142857142857
Task_Decomposition,186,21,10.571428571428571,74,1.3214285714285714
Task_Decomposition,187,22,12.714285714285714,89,1.75
Task_Decomposition,190,10,7.428571428571429,52,-0.17857142857142855
Task_Decomposition,191,13,10.428571428571429,73,0.6428571428571428
Task_Decomposition,189,25,11.142857142857142,78,2.142857142857143
Task_Decomposition,192,8,6.142857142857143,43,-0.17857142857142855
Task_Decomposition,188,22,9.714285714285714,68,-1.7142857142857142
Task_Decomposition,193,19,11.285714285714286,79,0.5714285714285713
Task_Decomposition,194,13,9.285714285714286,65,1.2857142857142856
Task_Decomposition,195,41,21.285714285714285,149,3.321428571428571
Task_Decomposition,198,19,10.142857142857142,71,1.8928571428571428
Task_Decomposition,196,32,13.428571428571429,94,-0.28571428571428575
Task_Decomposition,199,14,8.142857142857142,57,0.21428571428571427
Task_Decomposition,200,28,13.142857142857142,92,1.107142857142857
Task_Decomposition,197,30,18.428571428571427,129,1.5714285714285714
Task_Decomposition,202,12,7.571428571428571,53,0.6071428571428571
Task_Decomposition,201,19,11.142857142857142,78,2.0357142857142856
Task_Decomposition,203,14,9.285714285714286,65,1.6785714285714284
Task_Decomposition,206,12,6.571428571428571,46,-0.3214285714285714
Task_Decomposition,208,16,8.142857142857142,57,1.1785714285714286
Task_Decomposition,209,26,13.285714285714286,93,1.7142857142857142
Task_Decomposition,207,41,25.285714285714285,177,-1.107142857142857
Task_Decomposition,204,20,9.428571428571429,66,2.8571428571428563
Task_Decomposition,210,17,10.285714285714286,72,1.5357142857142854
Task_Decomposition,211,36,20.714285714285715,145,2.357142857142857
Task_Decomposition,205,10,5.142857142857143,36,0.0
Task_Decomposition,212,14,9.285714285714286,65,0.7857142857142857
Task_Decomposition,213,52,25.0,175,3.642857142857143
Task_Decomposition,215,13,7.428571428571429,52,0.9642857142857142
Task_Decomposition,214,34,15.571428571428571,109,-0.4999999999999998
Task_Decomposition,216,20,12.857142857142858,90,1.5
Task_Decomposition,217,9,6.428571428571429,45,-0.46428571428571425
Task_Decomposition,219,20,9.428571428571429,66,1.5714285714285714
Task_Decomposition,218,35,16.857142857142858,118,2.6785714285714284
Task_Decomposition,222,19,9.285714285714286,65,-0.14285714285714285
Task_Decomposition,220,20,10.571428571428571,74,2.285714285714286
Task_Decomposition,224,12,8.857142857142858,62,0.07142857142857142
Task_Decomposition,225,17,8.571428571428571,60,0.24999999999999992
Task_Decomposition,221,22,11.714285714285714,82,0.21428571428571427
Task_Decomposition,223,12,6.285714285714286,44,0.3571428571428571
Task_Decomposition,226,16,9.428571428571429,66,0.35714285714285704
Task_Decomposition,228,9,4.142857142857143,29,0.8928571428571429
Task_Decomposition,227,14,7.714285714285714,54,0.6428571428571428
Task_Decomposition,229,19,10.571428571428571,74,0.6071428571428571
Task_Decomposition,233,8,5.714285714285714,40,-0.07142857142857142
Task_Decomposition,231,20,9.285714285714286,65,0.07142857142857136
Task_Decomposition,230,22,7.714285714285714,54,0.2142857142857142
Task_Decomposition,234,30,14.714285714285714,103,0.3928571428571426
Task_Decomposition,235,11,8.285714285714286,58,0.6071428571428571
Task_Decomposition,232,26,16.714285714285715,117,0.75
Task_Decomposition,237,12,6.571428571428571,46,0.9285714285714285
Task_Decomposition,236,39,20.428571428571427,143,1.857142857142857
Task_Decomposition,239,20,10.571428571428571,74,0.28571428571428564
Task_Decomposition,241,23,12.714285714285714,89,2.214285714285714
Task_Decomposition,238,18,13.571428571428571,95,0.3928571428571428
